artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3,2006,4,4,553,14,154389799,4,15,12,5,54,190,B,Major,47,78,52,11,0,26,5
2,2004,4,27,1478,0,107807261,24,1,18,0,0,145,G#,Minor,85,81,61,12,0,11,6
4,2003,9,3,6518,7,1173932942,124,91,597,21,11,77,B,Minor,69,57,82,23,0,43,25
2,2151,12,23,2749,0,277186930,66,18,158,0,24,97,G,Minor,87,77,42,62,0,8,8
2,2189,3,14,7662,28,485257267,179,83,162,0,175,113,C#,Minor,78,67,62,1,0,5,5
2,1969,6,23,4727,0,634071291,90,10,108,0,4,127,G#,Major,82,43,67,2,0,7,6
2,2085,4,9,16856,0,1661590945,363,63,490,0,13,101,G#,Major,84,77,67,32,0,12,3
1,1820,5,13,8149,83,1154640036,259,138,448,37,350,131,,Major,72,88,81,11,0,7,5
7,2031,13,12,135,4,149231355,22,77,2,0,0,119,G#,Minor,84,71,76,6,0,16,4
1,1827,3,10,1081,6,233618565,15,10,17,0,4,117,F,Major,87,73,46,38,0,9,6
1,2134,9,20,1870,0,245707946,11,8,15,0,0,83,E,Minor,82,15,27,16,0,13,41
2,1940,2,25,4111,49,605082637,116,116,173,18,383,182,E,Minor,72,59,58,73,0,9,29
2,2214,2,24,1844,0,154374879,28,1,18,0,0,107,D,Minor,73,22,61,2,0,9,4
1,2160,1,1,5517,0,191520835,50,78,880,0,0,160,G,Major,73,79,73,20,0,29,5
1,2195,10,24,1710,24,390820801,18,79,24,0,32,171,G,Minor,61,15,66,41,95,13,10
3,2128,6,23,327,27,81452323,10,176,10,4,0,146,F,Minor,65,88,72,23,0,43,4
1,1917,3,19,1846,0,719148503,3,0,69,0,335,186,,Major,53,52,58,12,0,43,7
3,2222,4,4,578,13,149112171,4,13,12,5,57,196,B,Major,51,82,52,11,0,29,6
2,1917,10,27,18237,13,2172667010,341,158,2586,6,110,100,G,Major,57,28,40,41,0,28,3
1,2012,3,3,1897,3,243690801,27,36,28,1,1,132,G,Major,94,37,33,33,0,9,26
2,1913,2,2,199,4,89627794,8,82,2,1,1,112,G,Minor,71,81,69,24,0,10,4
1,2106,12,12,5064,2,498650205,111,122,185,1,4,93,E,Minor,82,37,79,16,0,9,7
2,2149,3,3,330,0,64148996,13,36,1,0,0,142,E,Major,51,49,75,11,0,11,3
1,2030,2,16,44693,24,1218898768,97,30,2475,0,689,115,G,Major,63,58,84,36,0,11,6
2,2094,3,14,7213,26,430541896,184,80,175,0,167,116,C#,Minor,79,64,63,1,0,5,5
3,2021,7,14,397,28,12201106,17,31,24,3,207,99,,Major,77,84,97,5,0,6,5
1,2092,1,9,228,0,84059857,2,13,11,0,0,125,E,Minor,56,40,86,9,0,61,6
1,2005,6,11,398,0,106563371,29,70,190,0,0,138,G,Major,58,42,57,22,0,13,4
1,2139,3,25,2972,30,191550235,119,69,98,3,675,115,D,Major,75,39,52,32,0,12,6
3,1978,3,2,1117,33,134652076,11,45,21,0,1,89,B,Major,78,56,70,31,0,10,8
3,2220,6,25,6207,0,518425052,99,5,71,1,0,177,F#,Minor,77,83,70,10,0,7,16
2,2086,8,10,15501,39,2725833099,497,91,838,31,0,161,C#,Major,56,47,75,4,0,11,5
1,1914,10,18,2208,0,190868718,12,6,27,0,1,154,E,Major,36,29,51,9,0,13,3
